,Unnamed: 0,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리,지역별 평균 월세,TC(총영업비용),FC(고정비용),VC(변동비용),회수기간_상,회수기간_중,회수기간_하,연수익매출_상,연수익매출_중,연수익매출_하,월수익매출_상,월수익매출_중,월수익매출_하,연순수익_상,연순수익_중,연순수익_하,월순수익_상,월순수익_중,월순수익_하,순수익률_상,순수익률_중,순수익률_하
41,41,서울 마포구 00동,150평 ,  개,  개,00 대,7000 만원,480,0,45000,-선택사항- ,-선택사항-     ,7000,45000,0,480,0,40,45000,480,100,6.7,8.5,14.4,12240,12240,12240,1140,1020,840,6720,5280,3120,560,440,260,14,11,6
42,42,서울 관악구 00동,180, 30 개,  개,00 대,4000 만원,240,0,9000,-선택사항- ,-선택사항-     ,4000,9000,30,240,0,33,9000,240,100,1.2,1.5,2.1,10092,10092,10092,940,841,693,7200,6012,4236,600,501,353,80,66,47
43,43,서울 양천구 00동,294, 30 개, 30 개,00 대,4천 만원,290,30,1억5천,-선택사항- ,-선택사항-     ,4000,15000,30,290,30,35,15000,320,100,2.2,2.6,4,10704,10704,10704,997,892,735,6924,5664,3780,577,472,315,46,37,25
44,44,서울 동대문구 00동,120평 ,  개,  개,00 대,5000 만원,500,0,31000,-선택사항- ,-선택사항-     ,5000,31000,0,500,0,37,31000,500,100,5.7,7.5,14.6,11316,11316,11316,1054,943,777,5448,4116,2124,454,343,177,17,13,6
45,45,서울 강동구 성내동,422.18, 54 개, 15 개,00 대,8000 만원,500,0,19000,-선택사항- ,-선택사항-     ,8000,19000,54,500,0,38,19000,500,180,1.2,1.5,2.1,20928,20928,20928,1949,1744,1436,15228,12768,9072,1269,1064,756,80,67,47
46,46,서울 마포구 00동,410, 39 개, 39 개,00 대,1억1천 만원,540,0,3억2천,-선택사항- ,-선택사항-     ,11000,32000,39,540,0,40,32000,540,130,3.3,4.1,6.3,15912,15912,15912,1482,1326,1092,9744,7872,5064,812,656,422,30,24,15
47,47,서울 동대문구 00동,90평 ,  개,  개,00 대,5000 만원,340,0,17000,-선택사항- ,-선택사항-     ,5000,17000,0,340,0,37,17000,340,100,2.3,2.8,4.2,11316,11316,11316,1054,943,777,7368,6036,4044,614,503,337,43,35,23
48,48,서울 동대문구 00동,244,  개,  개,00 대,300 만원,3000, 2~3층/3층 ,11000,-선택사항- ,-선택사항-     ,300,11000,0,3000,0,37,11000,3000,100,-0.4,-0.4,-0.4,11316,11316,11316,1054,943,777,-24552,-25884,-27876,-2046,-2157,-2323,-223,-235,-253
49,49,서울 동대문구 00동,110,  개,  개,00 대,6500 만원,505,0,7000,-선택사항- ,-선택사항-     ,6500,7000,0,505,0,37,7000,505,100,1.3,1.7,3.4,11316,11316,11316,1054,943,777,5388,4056,2064,449,338,172,76,57,29
50,50,서울 동대문구 00동,422, 30중� 개,  개,5 대,7000 만원,410,0,28000,-선택사항- ,-선택사항-     ,7000,28000,30,410,0,37,28000,410,100,4.3,5.4,8.7,11316,11316,11316,1054,943,777,6528,5196,3204,544,433,267,23,18,11
51,51,서울 종로구 00동,287, 60개� 개,  개,00 대,7000 만원,600,0,36000,-선택사항- ,-선택사항-     ,7000,36000,60,600,0,42,36000,600,200,1.9,2.2,3.1,25704,25704,25704,2394,2142,1764,19128,16104,11568,1594,1342,964,53,44,32
52,52,서울 종로구 00동,235, 20 개,  개,44 대,6000 만원,300,0,15500,-선택사항- ,-선택사항-     ,6000,15500,20,300,0,42,15500,300,66,3,3.7,5.8,8568,8568,8568,798,714,588,5184,4176,2664,432,348,222,33,26,17
53,53,서울 강동구 00동,120, 35 개,  개,00 대,5000 만원,550,0,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0,38,28000,550,116,3.9,5,8.8,13560,13560,13560,1263,1130,930,7164,5568,3168,597,464,264,25,19,11
54,54,서울 동작구 00동,100, 33 개,  개,00 대,9000 만원,510,0,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0,38,21000,510,110,3.1,3.9,6.8,12780,12780,12780,1191,1065,877,6852,5340,3084,571,445,257,32,25,14
