,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리
824,경기,경기 수원시 팔달구 인계로138번길 31,분당선 수내역,하이리빙텔 수내점,1개,['36개'],월세  25~40,Y,N,공용,N
825,경기,경기 성남시 분당구 백현로101번길 17,N,유니드원룸텔,빈방없음,['20개'],월세  30~40,Y,5,공용,N
826,경기,경기 안산시 단원구 원포공원1로 59,분당선 태평역,모닝하우스 태평역점,빈방없음,['30개'],월세  26~40,Y,N,공용,N
827,경기,경기 성남시 수정구 수정로87번길 7,8호선 모란역,프라젠리빙텔,빈방없음,['35개'],월세  28~50,Y,30,공용,N
828,경기,경기 성남시 중원구 둔촌대로101번길 27,1호선 신설동역,황토방원룸텔,1개,['35개'],월세  40~50,Y,3,공용,N
829,서울,서울 종로구 종로67길 3-8,3호선 신사역,리빙캐슬 신사점,빈방없음,['40개'],월세  32~48,Y,N,공용,Y
830,서울,서울 서초구 나루터로12길 7 ,2호선 건대입구역,풀하우스고시텔,빈방없음,['49개'],월세  35~48,Y,N,공용,Y
831,서울,서울 성동구 동일로 97 ,1호선 종로3가역,화인레지던스,빈방없음,['30개'],월세  36~45,Y,N,공용,Y
832,서울,서울 종로구 삼일대로20길 13,4호선 혜화역,쉐르빌리빙텔 대학로점,빈방없음,['42개'],월세  25~39,Y,N,공용,Y
833,서울,서울 종로구 이화장길 78,4호선 혜화역,라임하우스,빈방없음,['20개'],월세  30~40,Y,N,공용,N
834,서울,서울 종로구 성균관로 13 ,6호선 독바위역,원고시텔,빈방없음,['30개'],월세  28~45,Y,N,공용,N
835,서울,서울 은평구 연서로 320,신분당선 양재시민의숲역,매헌역원룸텔 염곡사거리점,빈방없음,['30개'],월세  40~60,Y,N,공용,N
836,서울,서울 서초구 강남대로6길 108-4 ,2호선 을지로4가역,다솔베르크 원룸텔,빈방없음,['55개'],월세  30~50,Y,N,공용,Y
837,서울,서울 중구 을지로27길 32-8,7호선 먹골역,비젼원룸텔,빈방없음,['29개'],월세  35~45,Y,N,공용,N
838,서울,서울 중랑구 동일로 865,경의중앙선 중랑역,삼성고시원,빈방없음,['34개'],월세  20~32,Y,N,공용,N
839,서울,서울 중랑구 동일로109길 55,N,가양레지던스,빈방없음,['30개'],월세  30~41,Y,N,공용,N
840,대전,대전 동구 흥룡로 10,N,석세스빌 원룸텔,빈방없음,['34개'],월세  25~40,Y,3,공용,N
841,대전,대전 서구 만년남로3번길 54-31,N,훼미리레지던스 고시텔,빈방없음,['60개'],월세  25~48,Y,10,공용,N
842,대전,대전 서구 만년로 80,2호선 신림역,하이리빙고시텔,빈방없음,['39개'],월세  28~32,Y,N,공용,N
843,서울,서울 관악구 남부순환로188길 9,1호선 회기역,성지고시텔,빈방없음,['90개'],월세  35~45,Y,3,공용,N
844,서울,서울 동대문구 경희대로1길 37,분당선 야탑역,모아원룸텔,빈방없음,['30개'],월세  43~50,Y,N,공용,N
845,경기,경기 성남시 분당구 야탑로69번길 8,대전1호선 갈마역,고시텔싱글인,빈방없음,['30개'],월세  30~34,Y,N,공용,N
846,대전,대전 서구 둔지로 50,대전1호선 중앙로역,명품고시텔,빈방없음,['30개'],월세  20~35,Y,3,여성전용,N
847,대전,대전 중구 중교로73번길 11,7호선 광명사거리역,광명리빙텔,빈방없음,['10개'],월세  40~40,Y,N,공용,N
848,경기,경기 광명시 광명로 956-1,N,아카데미고시텔,빈방없음,['30개'],월세  22~28,Y,5,남성전용,N
849,대전,대전 유성구 유성대로822번길 32,N,한솔하이츠,빈방없음,['21개'],월세  33~35,Y,10,공용,N
850,대전,대전 유성구 유성대로821번길 5,2호선 신림역,네스트원룸텔 신림역점,1개,['35개'],월세  35~40,Y,N,공용,N
851,서울,서울 관악구 남부순환로 1621,1호선 역곡역,모모레지던스 역곡점,빈방없음,['47개'],월세  30~40,Y,N,공용,N
852,경기,경기 부천시 경인로 511,분당선 야탑역,성은고시텔,빈방없음,['60개'],월세  25~45,Y,10,공용,N
853,경기,경기 성남시 분당구 야탑로69번길 21,대전1호선 월평역,세환고시텔,빈방없음,['34개'],월세  25~30,Y,3,공용,N
854,대전,대전 서구 월평중로13번길 6,8호선 단대오거리역,뉴비젼리빙텔,1개,['32개'],월세  25~40,Y,1,공용,N
855,경기,경기 성남시 중원구 산성대로372번길 11,8호선 모란역,성전하우스,빈방없음,['32개'],월세  28~50,Y,14,공용,Y
856,경기,경기 성남시 중원구 산성대로80번길 5,대구1호선 교대역,천호고시원,빈방없음,['32개'],월세  27~27,Y,3,공용,Y
