연번,상호,업종,법정동 주소
224,하이리빙텔,고시원업,서울특별시 중구 신당동 241-19
225,하이리빙텔,고시원업,서울특별시 중구 신당동 241-19
226,서울역게스트원룸(구.하나리빙텔),고시원업,서울특별시 중구 봉래동1가 132-6
227,프라자리빙텔,고시원업,서울특별시 중구 태평로2가 69-10
228,페퍼민트레지던스,고시원업,서울특별시 중구 남대문로5가 63-20
229,파인하우스,고시원업,서울특별시 중구 신당동 366-2
230,토브리빙텔,고시원업,서울특별시 중구 북창동 92
231,케이(K)하우스,고시원업,서울특별시 중구 황학동 1363
232,스토리하우스(SP추가),고시원업,서울특별시 중구 충무로2가 50-6
233,스토리하우스,고시원업,서울특별시 중구 흥인동 109
234,스테이 원룸텔,고시원업,서울특별시 중구 신당동 155-1
235,클래식충무로고시텔,고시원업,서울특별시 중구 충무로5가 20-29
236,청구고시원,고시원업,서울특별시 중구 신당동 333-79
237,청계JM,고시원업,서울특별시 중구 황학동 9
238,클린원룸텔,고시원업,서울특별시 중구 회현동1가 53-12
239,클래식리빙텔동국대점,고시원업,서울특별시 중구 장충동2가 193-38
240,힐 리빙텔,고시원업,서울특별시 중구 오장동 206-3
241,진달래 고시원,고시원업,서울특별시 중구 신당동 340-66
242,B&M 하우스,고시원업,서울특별시 중구 중림동 472
243,정다운고시텔,고시원업,서울특별시 중구 을지로3가 291-23
244,코코리빙텔,고시원업,서울특별시 중구 황학동 2492
245,소녀시대호스텔컴,고시원업,서울특별시 중구 을지로3가 291-45
246,코지 리빙텔,고시원업,서울특별시 중구 묵정동 29-23
247,일화고시원,고시원업,서울특별시 중구 신당동 151-9
248,인과진,고시원업,서울특별시 중구 회현동1가 100-49
249,웰빙원룸고시텔,고시원업,서울특별시 중구 중림동 398-6
250,LIVING SPACE,고시원업,서울특별시 중구 신당동 370-56
251,코코리빙텔(충무로),고시원업,서울특별시 중구 충무로5가 79-1
252,하예산고시원,고시원업,서울특별시 중구 장충동2가 193-27
253,엘리트고시원,고시원업,서울특별시 중구 묵정동 30-21
254,서울고시원,고시원업,서울특별시 중구 중림동 473-1
255,충정로리빙텔,고시원업,서울특별시 중구 중림동 398-10
256,국제고시텔,고시원업,서울특별시 중구 쌍림동 182-10
257,프라임고시원,고시원업,서울특별시 중구 필동3가 28-19
258,남대문고시원,고시원업,서울특별시 중구 남대문로5가 63-11
259,비전원룸텔,고시원업,서울특별시 중구 남산동3가 19-3
260,명문고시텔,고시원업,서울특별시 중구 충무로5가 78-1
261,에이스고시원,고시원업,서울특별시 중구 신당동 247-11
262,리빙파크원룸텔,고시원업,서울특별시 중구 중림동 128-15
263,게스트하우스(구.세종고시원),고시원업,서울특별시 중구 충무로2가 62-8
264,신아고시텔,고시원업,서울특별시 중구 장충동2가 186-25
265,조이고시원,고시원업,서울특별시 중구 신당동 101-10
266,큰빛고시원,고시원업,서울특별시 중구 신당동 101-2
267,에브라임 고시텔,고시원업,서울특별시 중구 을지로4가 183-3
268,미래텔고시원,고시원업,서울특별시 중구 신당동 292-146
269,단희고시텔,고시원업,서울특별시 중구 황학동 2491
270,명동고시텔,고시원업,서울특별시 중구 을지로2가 199-46
271,코코레지던스(약수역점),고시원업,서울특별시 중구 신당동 349-79
272,웰빙텔,고시원업,서울특별시 중구 필동2가 37-9
273,멀티하우스,고시원업,서울특별시 중구 묵정동 30-3
274,쉐르빌고시원,고시원업,서울특별시 중구 오장동 145-9
275,21세기 고시원,고시원업,서울특별시 중구 회현동1가 133-6
276,소호리빙텔,고시원업,서울특별시 중구 충정로1가 51-7
277,코리아레지던스,고시원업,서울특별시 중구 주교동 96-1
278,마이홈레지던스,고시원업,서울특별시 중구 광희동1가 166
279,코아리빙텔,고시원업,서울특별시 중구 광희동1가 98
280,케이스타(구.쿄하우스),고시원업,서울특별시 중구 중림동 128-40
281,굿 스테이,고시원업,서울특별시 중구 인현동2가 135-47
282,준레지던스,고시원업,서울특별시 중구 수표동 35-12
283,파크원룸텔,고시원업,서울특별시 중구 묵정동 27-10
284,스토리원룸텔,고시원업,서울특별시 중구 을지로6가 35-1
285,덕수궁리빙텔,고시원업,서울특별시 중구 태평로2가 68-8
286,엘린하우스 B,고시원업,서울특별시 중구 주자동 49-1
287,싱글하우스,고시원업,서울특별시 중구 중림동 400-12
288,을지로게스트원룸텔,고시원업,서울특별시 중구 초동 21-2
289,심플하우스(2층),고시원업,서울특별시 중구 장충동2가 187-26
290,코코레지던스(을지로점),고시원업,서울특별시 중구 을지로3가 291-45
291,을지로4가원룸텔,고시원업,서울특별시 중구 을지로4가 169-44
292,레지던스A,고시원업,서울특별시 중구 충무로2가 12-13
293,비버하우스,고시원업,서울특별시 중구 을지로6가 45-7
294,소리엘1,고시원업,서울특별시 중구 북창동 93-44
295,파인하우스원룸텔(A),고시원업,서울특별시 중구 신당동 366-2
296,25시고시원,고시원업,서울특별시 중구 남대문로5가 63-7
297,리빙캐슬 신당동점,고시원업,서울특별시 중구 신당동 133-34
298,명동게스트원룸텔,고시원업,서울특별시 중구 충무로2가 53-20
299,엠플 스페이스,고시원업,서울특별시 중구 남산동2가 32-13
300,청구고시원,고시원업,서울특별시 중구 신당동 308-4
301,지영고시텔,고시원업,서울특별시 중구 방산동 4-46
302,라이프하우스 원룸텔,고시원업,서울특별시 중구 신당동 373-42
303,샤인 힐,고시원업,서울특별시 중구 신당동 420-2
304,이스트하우스,고시원업,서울특별시 중구 필동3가 28-2
305,"심플하우스(3,4층)",고시원업,서울특별시 중구 장충동2가 187-26
306,오투레지던스,고시원업,서울특별시 중구 주교동 256
307,임호고시원,고시원업,서울특별시 중구 신당동 302-4
308,투유레지던스 충무로점,고시원업,서울특별시 중구 충무로4가 90-1
309,갤럭시원룸텔,고시원업,서울특별시 중구 을지로2가 101-3
310,메르디앙리빙텔,고시원업,서울특별시 중구 장충동2가 128
311,탑하우스,고시원업,서울특별시 중구 다동 58-1
312,글로벌 하우스,고시원업,서울특별시 중구 충무로3가 56-22
313,투유레지던스(대한고시원),고시원업,서울특별시 중구 충무로4가 90-1
314,굿모닝 원룸텔,고시원업,서울특별시 중구 신당동 302-4
315,패밀리 하우스,고시원업,서울특별시 중구 남산동3가 13-21
316,그린텔고시원,고시원업,서울특별시 중구 명동2가 2-21
317,베스트 원룸텔,고시원업,서울특별시 중구 쌍림동 34-5
318,투유레지던스,고시원업,서울특별시 중구 을지로3가 296-11
319,명동PapaHouse,고시원업,서울특별시 중구 남산동3가 13-21
320,아이비 하우스,고시원업,서울특별시 중구 묵정동 32-3
321,O2원룸텔,고시원업,서울특별시 중구 충무로3가 33-1
322,24시고시원,고시원업,서울특별시 중구 남산동2가 36-6
323,허브레지던스,고시원업,서울특별시 중구 장충동2가 193-80
324,다솔베르크 원룸텔,고시원업,서울특별시 중구 주교동 282
325,고센(구.쉼터),고시원업,서울특별시 중구 신당동 340-62
326,평안고시원,고시원업,서울특별시 중구 오장동 206-7
327,아이비하우스,고시원업,서울특별시 중구 묵정동 32-3
328,오투하우스 을지로,고시원업,서울특별시 중구 을지로3가 350-1
329,파인하우스,고시원업,서울특별시 중구 광희동1가 187-1
330,싱글하우스,고시원업,서울특별시 중구 북창동 129-1
331,진양고시원(노매드원룸텔),고시원업,서울특별시 중구 충무로4가 120-3
332,힐리빙텔,고시원업,서울특별시 중구 황학동 2494
333,참누리고시원,고시원업,서울특별시 중구 신당동 170-29
334,코리아레지던스,고시원업,서울특별시 중구 주교동 96-1
335,하이리빙텔,고시원업,서울특별시 중구 신당동 241-19
336,힐스테이트원룸텔,고시원업,서울특별시 중구 필동2가 117
337,베스틴레지던스,고시원업,서울특별시 중구 남산동3가 19-1
338,광명고시원,고시원업,서울특별시 중구 신당동 309-18
339,에코하우스,고시원업,서울특별시 중구 남산동3가 20-9
340,마이홈원룸텔,고시원업,서울특별시 중구 충무로3가 33-3
341,"덕산리빙텔(구,리빙캐슬)",고시원업,서울특별시 중구 을지로5가 79-1
342,정명고시텔,고시원업,서울특별시 중구 중림동 398-16
343,명동코아텔,고시원업,서울특별시 중구 남산동2가 27-5
344,명동에코하우스,고시원업,서울특별시 중구 남산동3가 13
345,멀티하우스리빙텔,고시원업,서울특별시 중구 신당동 102-5
346,리치빌,고시원업,서울특별시 중구 회현동1가 71-14
347,SJ고시원,고시원업,서울특별시 중구 필동3가 20-12
348,"자자 백팩커스(구,레지던스이오)",고시원업,서울특별시 중구 남산동2가 18-6
349,명동루프탑,고시원업,서울특별시 중구 남산동2가 19-13
350,WH,고시원업,서울특별시 중구 필동3가 49-1
351,KPOP레지던스,고시원업,서울특별시 중구 명동2가 4-2
352,동대문호스텔(구.애플원룸텔),고시원업,서울특별시 중구 광희동2가 43-1
353,학림고시원,고시원업,서울특별시 중구 중림동 28-1
354,소호리빙텔(건대점),고시원업,서울특별시 광진구 화양동 495-10
355,스테이지투,고시원업,서울특별시 광진구 구의동 246-68
356,서창고시원,고시원업,서울특별시 광진구 구의동 248-11
357,율곡고시원,고시원업,서울특별시 광진구 구의동 220-38
358,세종레지던스,고시원업,서울특별시 광진구 군자동 65-3
359,자몽 셰어 하우스,고시원업,서울특별시 광진구 군자동 1-9
360,선우고시원,고시원업,서울특별시 광진구 중곡동 239-83
361,굿스테이원룸텔 건대점,고시원업,서울특별시 광진구 자양동 9-35
362,휴식 군자점,고시원업,서울특별시 광진구 중곡동 639-3
363,굿스테이원룸텔 세종대점,고시원업,서울특별시 광진구 군자동 361-27
364,드림하우스,고시원업,서울특별시 광진구 자양동 843-10
365,군자원룸텔,고시원업,서울특별시 광진구 능동 314-11
366,해피존고시텔,고시원업,서울특별시 광진구 군자동 100-105
367,SB원룸텔,고시원업,서울특별시 광진구 화양동 220
368,로뎀하우스,고시원업,서울특별시 광진구 자양동 829-3
369,청운하우스,고시원업,서울특별시 광진구 능동 221-18
370,더탑,고시원업,서울특별시 광진구 화양동 19-1
371,코코리빙텔 건대점,고시원업,서울특별시 광진구 자양동 846-9
372,노유레지던스 건대점,고시원업,서울특별시 광진구 자양동 846-9
373,휴먼빌고시원,고시원업,서울특별시 광진구 구의동 53-10
374,21세기고시원,고시원업,서울특별시 광진구 자양동 24-2
375,마이빌고시원,고시원업,서울특별시 광진구 자양동 227-33
376,별빛여성전용고시텔,고시원업,서울특별시 광진구 자양동 87-1
