,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
2227,서울 구로구 구로동,166.65 , 27 개, 9 개,불가 대,5천 만원, 360 , 없음 ,1억,-선택사항- ,-선택사항-     ,5000,10000,27,360,0
2228,서울 동대문구 장안동,400 , 37 개, 37 개,불가 대,7천 만원, 470 , 없음 ,3억,-선택사항- ,-선택사항-     ,7000,30000,37,470,0
2229,서울 동작구 상도로,227.21 , 39 개, 27 개,불가 대,6000 만원, 550 , 없음 ,2억,-선택사항- ,-선택사항-     ,6000,20000,39,550,0
2230,서울 강남구 양재대로,188.64 , 19 개, 19 개,불가 대,5000 만원, 352 , 없음 ,2억,-선택사항- ,-선택사항-     ,5000,20000,19,352,0
2231,서울 강남구 00동,고시원 ,  개,  개,00 대,5000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     ,5000,21000,0,500,0
2232,서울 종로구 00동,428.64 , 40 개, 40 개,1 대,5000 만원, 520 , 별도 ,3억5천,-선택사항- ,-선택사항-     ,5000,35000,40,520,0
2233,서울 구로구 00동,약150평 ,  개,  개,00 대,5000 만원, 340 , 70 ,27000,-선택사항- ,-선택사항-     ,5000,27000,0,340,70
2234,서울 서대문구 00동,약150평 ,  개,  개,00 대,8000 만원, 670 , 00 ,24500,-선택사항- ,-선택사항-     ,8000,24500,0,670,0
2235,서울 구로구 00동,약 100평 ,  개,  개,00 대,5000 만원, 360 , 00 ,7500,-선택사항- ,-선택사항-     ,5000,7500,0,360,0
2236,서울 강동구 00동,120평 ,  개,  개,00 대,5000 만원, 550 , 00 ,31000,-선택사항- ,-선택사항-     ,5000,31000,0,550,0
2237,서울 중랑구 00동,약150평 ,  개,  개,00 대,3000 만원, 320 , 00 ,21000,-선택사항- ,-선택사항-     ,3000,21000,0,320,0
2238,서울 강남구 00동,약150평 ,  개,  개,00 대,7000 만원, 800 , 00 ,36000,-선택사항- ,-선택사항-     ,7000,36000,0,800,0
2239,서울 종로구 00동,940 , 75 개, 75 개,00 대,1억 만원, 890 , 130 ,4억5천,-선택사항- ,-선택사항-     ,10000,45000,75,890,130
2240,서울 구로구 00동,562 , 67 개, 40 개,00 대,6천 만원, 600 , 60 ,2억6천,-선택사항- ,-선택사항-     ,6000,26000,67,600,60
