,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
1345,서울 송파구 가락동,. ,  개,  개,00 대,3000 만원, 214 , 없음 ,5000,-선택사항- ,-선택사항-     ,3000,5000,0,214,0
1346,서울 강서구 00동,323 , 40 개,  개,00 대,3천 만원, 320 , 20 ,1억1천,-선택사항- ,-선택사항-     ,3000,11000,40,320,20
1347,서울 서대문구 00동,202.31 , 34 개,  개,00 대,5000 만원, 270 , 50 ,19000,-선택사항- ,-선택사항-     ,5000,19000,34,270,50
1348,서울 관악구 00동,320 , 38 개,  개,00 대,4천 만원, 420 , 30 ,2억,-선택사항- ,-선택사항-     ,4000,20000,38,420,30
1349,서울 구로구 00동,265 , 30 개,  개,00 대,3천 만원, 220 , 30 ,1억3천,-선택사항- ,-선택사항-     ,3000,13000,30,220,30
1350,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
1351,서울 강동구 00동,313 , 30 개, 30 개,00 대,5천 만원, 370 , 30 ,3억3천,-선택사항- ,-선택사항-     ,5000,33000,30,370,30
1352,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
1353,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
1354,서울 영등포구 00동,317 , 39 개,  개,00 대,3천 만원, 190 , 20 ,1억8천,-선택사항- ,-선택사항-     ,3000,18000,39,190,20
1355,서울 강동구 00동,422 , 50 개,  개,00 대,7천 만원, 420 , 30 ,2억1천,-선택사항- ,-선택사항-     ,7000,21000,50,420,30
1356,서울 동작구 00동,430 , 24 개, 24 개,00 대,8천 만원, 300 , 00 ,2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,300,0
1357,서울 구로구 00동,462 , 41 개, 41 개,3 대,5천 만원, 420 , 30 ,4억1천,-선택사항- ,-선택사항-     ,5000,41000,41,420,30
1358,서울 동작구 00동,330 , 32 개, 32 개,00 대,4천 만원, 290 , 00 ,2억8천,-선택사항- ,-선택사항-     ,4000,28000,32,290,0
1359,서울 영등포구 00동,384.94 , 34 개,  개,없음 대,7000 만원, 380 , 없음 ,16000,-선택사항- ,-선택사항-     ,7000,16000,34,380,0
1360,서울 동작구 00동,. ,  개,  개,00 대, 만원, 392 , 00 ,2억2천,-선택사항- ,-선택사항-     ,0,22000,0,392,0
1361,서울 관악구 00동,340 , 37 개, 11 개,00 대,8000 만원, 330 , 00 ,15000,-선택사항- ,-선택사항-     ,8000,15000,37,330,0
1362,서울 송파구 00동,330 , 38 개, 28 개,1 대,6000 만원, 430 , 00 ,19500,-선택사항- ,-선택사항-     ,6000,19500,38,430,0
1363,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
1364,서울 송파구 00동,160 , 25 개,  개,00 대,3000 만원, 195 , 00 ,4200,-선택사항- ,-선택사항-     ,3000,4200,25,195,0
1365,서울 광진구 00동,328.6 ,  개,  개,00 대, 만원, 580 , 00 ,2억,-선택사항- ,-선택사항-     ,0,20000,0,580,0
1366,서울 서대문구 00동,238.78 , 37 개, 37 개,00 대, 만원, 495 , 없음 ,2억,-선택사항- ,-선택사항-     ,0,20000,37,495,0
1367,서울 강동구 00동,113평 ,  개,  개,00 대,5000 만원, 330 , 00 ,14000,-선택사항- ,-선택사항-     ,5000,14000,0,330,0
1368,서울 강동구 길동,240.3 , 28 개, 17 개,X 대,3천 만원, 264 , 없음 ,1억7천,-선택사항- ,-선택사항-     ,3000,17000,28,264,0
1369,서울 성북구 00동,423.14 , 38 개, 36 개,00 대,4천 만원, 480 , 없음 ,2억9천,-선택사항- ,-선택사항-     ,4000,29000,38,480,0
1370,서울 종로구 00동,313.08 , 39 개, 9 개,00 대,7천 만원, 590 , 없음 ,1억,-선택사항- ,-선택사항-     ,7000,10000,39,590,0
1371,서울 성북구 00동,287 , 47 개,  개,00 대, 만원, 150 , 00 ,13000,-선택사항- ,-선택사항-     ,0,13000,47,150,0
1372,서울 강동구 00동,260 , 32 개,  개,00 대,350 만원, 403 , 00 ,12000,-선택사항- ,-선택사항-     ,350,12000,32,403,0
1373,서울 영등포구 영등포구,126평 , 47 개, 21 개,00 대,5천 만원, 390 , 00 ,1억5천,-선택사항- ,-선택사항-     ,5000,15000,47,390,0
1374,서울 영등포구 00동,315 , 40 개,  개,00 대,5천 만원, 370 , 30 ,1억6천,-선택사항- ,-선택사항-     ,5000,16000,40,370,30
1375,서울 강남구 강남구,108평 ,  개,  개,00 대,4천5백 만원, 530 , 00 ,2억8천,-선택사항- ,-선택사항-     ,4500,28000,0,530,0
1376,서울 서대문구 00동,238.78 ,  개,  개,00 대,3600 만원, 450 , 없음 ,21000,-선택사항- ,-선택사항-     ,3600,21000,0,450,0
1377,서울 서대문구 연희동,110 , 31 개,  개,00 대,2000 만원, 250 , 없음 ,11000,-선택사항- ,-선택사항-     ,2000,11000,31,250,0
1378,서울 동작구 노량진,2.3.4층 , 23 개,  개,00 대,5000 만원, 222 , 00 ,합8500, , ,5000,8500,23,222,0
1379,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
1380,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,35,550,0
1381,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
1382,서울 동작구 00동,330 , 32 개, 32 개,00 대,4천 만원, 290 , 00 ,2억8천,-선택사항- ,-선택사항-     ,4000,28000,32,290,0
1383,"서울 도봉구 ,",100 ,  개,  개,00 대,7000 만원, 295 , 00 ,13000,-선택사항- ,-선택사항-     ,7000,13000,0,295,0
1384,서울 강동구 00동,413.36 ,  개,  개,00 대,1억 만원, 760 , 00 ,21000,-선택사항- ,-선택사항-     ,10000,21000,0,760,0
1385,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20
1386,서울 종로구 00동,400 , 55 개, 42 개,1 대,9000 만원, 580 , 50 ,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,50
1387,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
1388,서울 구로구 00동,340 , 40 개, 27 개,1 대,4000 만원, 380 , 00 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,380,0
1389,서울 관악구 00동,340 , 37 개, 11 개,00 대,8000 만원, 330 , 00 ,15000,-선택사항- ,-선택사항-     ,8000,15000,37,330,0
1390,서울 동작구 00동,. ,  개,  개,00 대, 만원, 392 , 00 ,2억2천,-선택사항- ,-선택사항-     ,0,22000,0,392,0
1391,서울 마포구 00동,518.84 , 57 개,  개,00 대,7000 만원, 650 , 없음 ,35000,-선택사항- ,-선택사항-     ,7000,35000,57,650,0
1392,서울 중구 00동,372.15 ,  개,  개,00 대,3000 만원, 250 , 없음 ,19000,-선택사항- ,-선택사항-     ,3000,19000,0,250,0
1393,서울 종로구 00동,518.84 , 59 개, 40 개,00 대,9000 만원, 580 , 없음 ,20000,-선택사항- ,-선택사항-     ,9000,20000,59,580,0
1394,서울 동작구 00동,328 , 32 개,  개,00 대,4000 만원, 460 , 10 ,22000,-선택사항- ,-선택사항-     ,4000,22000,32,460,10
1395,서울 동작구 00동,474.87 , 38 개,  개,없음 대, 만원, 500 , 없음 ,26000,-선택사항- ,-선택사항-     ,0,26000,38,500,0
1396,서울 중랑구 중곡동,300 , 35 개, 원17 개,1 대,5천 만원, 350 , 35 ,합1억2천,-선택사항- ,-선택사항-     ,5000,12000,35,350,35
1397,서울 종로구 동대문역,370 , 33 개, 33 개,00 대,5천 만원, 410 , 30 ,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,33,410,30
1398,서울 중랑구 상봉,390 , 큰30 개, 30 개,1 대,5천 만원, 380 , 30 ,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,380,30
1399,서울 성북구 00동,223.65 , 28 개, 17 개,없음 대,4000 만원, 200 , 없음 ,18000,-선택사항- ,-선택사항-     ,4000,18000,28,200,0
1400,서울 강서구 00동,294 ,  개,  개,00 대,3000 만원, 300 , 사용량에 따라 부과 ,1억5000,-선택사항- ,-선택사항-     ,3000,15000,0,300,0
1401,서울 종로구 00동,430.61 , 58 개, 44 개,없음 대,9000 만원, 580 , 65만 ,2억,-선택사항- ,-선택사항-     ,9000,20000,58,580,65
1402,서울 동작구 00동,381.76 , 54 개, 29 개,없음 대,9000 만원, 515 , 없음 ,36000,-선택사항- ,-선택사항-     ,9000,36000,54,515,0
1403,서울 동작구 00동,222.74 , 36 개, 36 개,없음 대,6000 만원, 421 , 없음 ,32000,-선택사항- ,-선택사항-     ,6000,32000,36,421,0
1404,서울 송파구 송파구,105평 ,  개,  개,00 대,4천5백 만원, 380 , 00 ,3억2천,-선택사항- ,-선택사항-     ,4500,32000,0,380,0
1405,서울 강동구 성내동,235.04 , 24 개, 24 개,00 대,4천5백 만원, 132 , 없음 ,1억6천5백,-선택사항- ,-선택사항-     ,4500,16500,24,132,0
1406,서울 영등포구 00동,320 , 29 개, 29 개,00 대,4천 만원, 300 , 00 ,2억6천,-선택사항- ,-선택사항-     ,4000,26000,29,300,0
1407,서울 영등포구 00동,320 , 39 개,  개,00 대,3천 만원, 230 , 00 ,1억8천,-선택사항- ,-선택사항-     ,3000,18000,39,230,0
1408,서울 양천구 00동,310 ,  개,  개,00 대,9000 만원, 360 , 100 ,2억,-선택사항- ,-선택사항-     ,9000,20000,0,360,100
1409,서울 성동구 00동,376 , 42 개, 42 개,00 대,4천 만원, 470 , 60 ,3억3천,-선택사항- ,-선택사항-     ,4000,33000,42,470,60
1410,서울 노원구 00동,283 ,  개,  개,00 대,4000 만원, 280 , 20 ,4000,-선택사항- ,-선택사항-     ,4000,4000,0,280,20
1411,서울 광진구 00동,328.6 ,  개,  개,00 대, 만원, 580 , 00 ,합,-선택사항- ,-선택사항-     ,0,0,0,580,0
1412,서울 종로구 인의동,279.36 , 38 개, 7 개,00 대,5000 만원, 320 , 00 ,1억2천5백,1호선 종로5가역,-선택사항-     ,5000,12500,38,320,0
1413,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
1414,서울 동작구 00동,. , 45 개, . 개,. 대,. 만원, . , . ,1억6천5백,9호선 노들역,-선택사항-     ,0,16500,45,0,0
1415,서울 영등포구 00동,315 , 40 개, 20 개,00 대,5천 만원, 370 , 30 ,1억6천,-선택사항- ,-선택사항-     ,5000,16000,40,370,30
1416,서울 강남구 00동,496 , 50 개, 27 개,1 대,15000 만원, 1050 , 00 ,39000,-선택사항- ,-선택사항-     ,15000,39000,50,1050,0
1417,서울 강남구 00동,300 , 29 개,  개,00 대,5000 만원, 500 , 없음 ,29000,-선택사항- ,-선택사항-     ,5000,29000,29,500,0
1418,서울 금천구 00동,60평 ,  개,  개,00 대,1500 만원, 150 , 00 ,7500,-선택사항- ,-선택사항-     ,1500,7500,0,150,0
1419,서울 노원구 00동,100평 , 42 개,  개,00 대,5500 만원, 390 , 00 ,8000,-선택사항- ,-선택사항-     ,5500,8000,42,390,0
1420,서울 노원구 00동,80평 ,  개,  개,00 대,2000 만원, 180 , 00 ,7000,-선택사항- ,-선택사항-     ,2000,7000,0,180,0
1421,서울 종로구 00동,195.96 , 20 개, 20 개,00 대,6천 만원, 300 , 별도 ,1억5천,-선택사항- ,-선택사항-     ,6000,15000,20,300,0
1422,서울 동대문구 00동,250 , 38 개, 4 개,없음 대,5000 만원, 350 , 없음 ,10000,-선택사항- ,-선택사항-     ,5000,10000,38,350,0
1423,서울 서초구 서초동,404.23 , 50 개, 27 개,00 대,8천5백 만원, 520 , 별도 ,2억2천,-선택사항- ,-선택사항-     ,8500,22000,50,520,0
1424,서울 노원구 00동,351.52 , 42 개, 33 개,없음 대,7000 만원, 440 , 없음 ,25000,-선택사항- ,-선택사항-     ,7000,25000,42,440,0
1425,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20
1426,서울 영등포구 00동,330 , 35 개, 29 개,00 대,7000 만원, 390 , 00 ,15000,-선택사항- ,-선택사항-     ,7000,15000,35,390,0
1427,서울 종로구 00동,400 , 55 개, 42 개,1 대,9000 만원, 580 , 60 ,19000,-선택사항- ,-선택사항-     ,9000,19000,55,580,60
1428,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,580,0
1429,서울 동작구 동작,420 , 큰24 개, 24 개,1 대,8천 만원, 280 , 21 ,합2억4천,-선택사항- ,-선택사항-     ,8000,24000,24,280,21
1430,서울 동작구 00동,420 , 36 개, 36 개,00 대,5000 만원, 400 , 00 ,2억2000,-선택사항- ,-선택사항-     ,5000,22000,36,400,0
1431,서울 관악구 봉천동,330 , 37 개, 7 개,1 대,8천 만원, 330 , 00 ,권리금7천,-선택사항- ,-선택사항-     ,8000,7000,37,330,0
1432,서울 중랑구 00동,약 150평 ,  개,  개,00 대,5000 만원, 350 , 50 ,12000,-선택사항- ,-선택사항-     ,5000,12000,0,350,50
1433,서울 동작구 00동,약 150평 ,  개,  개,00 대,4000 만원, 250 , 00 ,11000,-선택사항- ,-선택사항-     ,4000,11000,0,250,0
1434,서울 동작구 00동,약 100평 ,  개,  개,00 대,2000 만원, 200 , 00 ,10500,-선택사항- ,-선택사항-     ,2000,10500,0,200,0
1435,서울 금천구 00동,약 200평 ,  개,  개,00 대,4000 만원, 420 , 00 ,40000,-선택사항- ,-선택사항-     ,4000,40000,0,420,0
1436,서울 서초구 00동,350 , 28 개, 28 개,00 대,7000 만원, 530 , 00 ,2억1000,-선택사항- ,-선택사항-     ,7000,21000,28,530,0
1437,서울 강서구 00동,약 100평 ,  개,  개,00 대,3000 만원, 350 , 00 ,10500,-선택사항- ,-선택사항-     ,3000,10500,0,350,0
1438,서울 마포구 00동,290 , 30 개,  개,00 대,4000 만원, 300 , 00 ,26000,-선택사항- ,-선택사항-     ,4000,26000,30,300,0
1439,서울 양천구 00동,246 , 40 개,  개,00 대,9000 만원, 505 , 00 ,17000,-선택사항- ,-선택사항-     ,9000,17000,40,505,0
1440,서울 영등포구 영등포구,132평 ,  개,  개,00 대,5천 만원, 390 , 00 ,1억5천,-선택사항- ,-선택사항-     ,5000,15000,0,390,0
1441,서울 동작구 00동,280 , 45 개,  개,00 대,10000 만원, 300 , 00 ,26000,-선택사항- ,-선택사항-     ,10000,26000,45,300,0
1442,서울 성북구 00동,293.6 , 42 개, 4 개,1 대,3000 만원, 300 , 없음 ,11000,-선택사항- ,-선택사항-     ,3000,11000,42,300,0
1443,서울 동작구 00동,420 , 55 개,  개,00 대,4000 만원, 500 , 00 ,21000,-선택사항- ,-선택사항-     ,4000,21000,55,500,0
1444,서울 중랑구 상봉,390 , 큰30 개, 30 개,1 대,5천 만원, 340 , 30 ,합2억7천,-선택사항- ,-선택사항-     ,5000,27000,30,340,30
1445,서울 관악구 신림동,380 , 40 개, 26 개,1 대,4천 만원, 470 , 30 ,합1억7천,-선택사항- ,-선택사항-     ,4000,17000,40,470,30
1446,서울 영등포구 영등포동,390 , 40 개, 14 개,1 대,2500 만원, 200 , 00 ,합1억8천,-선택사항- ,-선택사항-     ,2500,18000,40,200,0
1447,서울 종로구 00동,377.13 , 44 개, 44 개,없음 대,6000 만원, 660 , 없음 ,37000,-선택사항- ,-선택사항-     ,6000,37000,44,660,0
1448,서울 서대문구 북가좌동,250.25 , 25 개, 3 개,X 대,1천5백 만원, 180 , 없음 ,8천5백,-선택사항- ,-선택사항-     ,1500,8500,25,180,0
1449,서울 동대문구 00동,340 , 38 개, 38 개,1 대,5000만 만원, 500만 , 00 ,3억3천만,1호선 ,-선택사항-     ,0,33000,38,0,0
1450,서울 광진구 00동,247.84 ,  개,  개,00 대, 만원, 250 , 00 ,합,-선택사항- ,-선택사항-     ,0,0,0,250,0
1451,서울 구로구 00동,100평 , 55 개,  개,00 대,7000 만원, 580 , 00 ,13000,-선택사항- ,-선택사항-     ,7000,13000,55,580,0
1452,서울 동작구 00동,360 , 37 개, 37 개,00 대,5000 만원, 420 , 00 ,,-선택사항- ,-선택사항-     ,5000,0,37,420,0
1453,서울 종로구 00동,100평 , . 개,  개,00 대,6000 만원, 700 , 00 ,36000,-선택사항- ,-선택사항-     ,6000,36000,0,700,0
1454,서울 종로구 00동,250 ,  개,  개,00 대,8000 만원, 520 , 00 ,1억8000,-선택사항- ,-선택사항-     ,8000,18000,0,520,0
1455,서울 영등포구 00동,385.27 , 43 개,  개,00 대,6000 만원, 470 , 상담 ,16000,-선택사항- ,-선택사항-     ,6000,16000,43,470,0
1456,서울 영등포구 00동,360 , 48 개, 0 개,00 대,3000 만원, 200 , 00 ,1억2000,-선택사항- ,-선택사항-     ,3000,12000,48,200,0
1457,서울 종로구 00동,106.6 , 상담 개,  개,00 대,3500 만원, 200 , 00 ,18000,-선택사항- ,-선택사항-     ,3500,18000,0,200,0
1458,서울 광진구 00동,330 , 42 개, 0 개,00 대,5000 만원, 400 , 00 ,1억2000,-선택사항- ,-선택사항-     ,5000,12000,42,400,0
1459,서울 관악구 00동,434 , 25 개, 25 개,00 대,2억 만원, 370 , 30 ,5억5천,-선택사항- ,-선택사항-     ,20000,55000,25,370,30
1460,서울 동대문구 이문동,295.2 , 38 개, 14 개,2 대,4천 만원, 360 , 52만원 ,1억4천,-선택사항- ,-선택사항-     ,4000,14000,38,360,52
1461,서울 구로구 00동,320 , 29 개, 29 개,00 대,4천 만원, 300 , 00 ,2억6천,-선택사항- ,-선택사항-     ,4000,26000,29,300,0
1462,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
1463,서울 동대문구 00동,100 , 30 개,  개,00 대,5000 만원, 300 , 00 ,26000,-선택사항- ,-선택사항-     ,5000,26000,30,300,0
1464,서울 양천구 00동,310.5 , 34 개,  개,가능 대,9000 만원, 369 , 100만원 ,22000,-선택사항- ,-선택사항-     ,9000,22000,34,369,100
1465,서울 영등포구 00동,350 , 35 개,  개,1 대,7000 만원, 360 , 15 ,17,-선택사항- ,-선택사항-     ,7000,17000,35,360,15
1466,서울 마포구 00동,. , 36 개, . 개,00 대,4000 만원, . , 00 ,2억2천,-선택사항- ,-선택사항-     ,4000,22000,36,0,0
1467,서울 동작구 00동,. , 55 개, 55 개,1 대,1억 만원, 800 , . ,3억2천,-선택사항- ,-선택사항-     ,10000,32000,55,800,0
1468,서울 강동구 00동,. , 31 개, . 개,00 대,3000 만원, 350 , 00 ,1억2000,-선택사항- ,-선택사항-     ,3000,12000,31,350,0
1469,서울 강남구 00동,. , 28 개, . 개,00 대,5000 만원, 450 , . ,1억6천,-선택사항- ,-선택사항-     ,5000,16000,28,450,0
1470,서울 구로구 00동,320 , 34 개, 27 개,1 대,6000 만원, 360 , 00 ,15000,-선택사항- ,-선택사항-     ,6000,15000,34,360,0
1471,서울 구로구 00동,330 , 40 개, 27 개,1 대,4000 만원, 330 , 00 ,17000,-선택사항- ,-선택사항-     ,4000,17000,40,330,0
1472,서울 송파구 00동,330 , 38 개, 28 개,1 대,6000 만원, 430 , 00 ,19500,-선택사항- ,-선택사항-     ,6000,19500,38,430,0
1473,"서울 강동구 ,",80평 ,  개,  개,00 대,3000 만원, 350 , 00 ,12000,-선택사항- ,-선택사항-     ,3000,12000,0,350,0
1474,서울 광진구 00동,250 , 36 개,  개,00 대,2500 만원, 300 , 00 ,7000,-선택사항- ,-선택사항-     ,2500,7000,36,300,0
1475,서울 영등포구 00동,370 , 40 개, 22 개,00 대,5000 만원, 400 , 00 ,1억5500,-선택사항- ,-선택사항-     ,5000,15500,40,400,0
1476,서울 동작구 00동,420 , 36 개, 36 개,00 대,5000 만원, 400 , 00 ,2억2000,-선택사항- ,-선택사항-     ,5000,22000,36,400,0
1477,서울 영등포구 00동,400 , 39 개, 37 개,00 대,1억 만원, 600 , 00 ,1억6000,-선택사항- ,-선택사항-     ,10000,16000,39,600,0
1478,서울 동작구 상도동,. ,  개,  개,00 대,3000 만원, 420 , 00 ,2억2000,-선택사항- ,-선택사항-     ,3000,22000,0,420,0
1479,서울 관악구 00동,. ,  개,  개,00 대,3000 만원, 317 , 00 ,5500,-선택사항- ,-선택사항-     ,3000,5500,0,317,0
1480,서울 강동구 성내동,465.1 , 35 개, 35 개,00 대,5천 만원, 605다포 , 00 ,3억,-선택사항- ,-선택사항-     ,5000,30000,35,0,0
1481,서울 서초구 서초동,404.23 , 50 개, 30 개,00 대,8,['500 만원'],None,2억3천,-선택사항- ,-선택사항-     ,8,23000,50,0,0
1482,서울 종로구 관철동,277.82 , 25 개, 25 개,00 대,1억 만원, 429다포 , 00 ,1억8천,-선택사항- ,-선택사항-     ,10000,18000,25,0,0
1483,서울 서대문구 00동,고시원 ,  개,  개,00 대,3000 만원, 200 , 00 ,8000,-선택사항- ,-선택사항-     ,3000,8000,0,200,0
1484,서울 영등포구 00동,고시원 ,  개,  개,00 대,3000 만원, 260 , 00 ,11000,-선택사항- ,-선택사항-     ,3000,11000,0,260,0
1485,서울 서대문구 00동,238.78 , 36 개, 37 개,없음 대,3000 만원, 450 , 없음 ,21000,-선택사항- ,-선택사항-     ,3000,21000,36,450,0
1486,서울 구로구 00동,200 ,  개,  개,00 대,2000 만원, 160 , 없음 ,2500,-선택사항- ,-선택사항-     ,2000,2500,0,160,0
1487,서울 노원구 00동,283 ,  개,  개,00 대,4000 만원, 280 , 20 ,4000,-선택사항- ,-선택사항-     ,4000,4000,0,280,20
1488,서울 양천구 00동,310 ,  개,  개,00 대,9000 만원, 360 , 100 ,2억,-선택사항- ,-선택사항-     ,9000,20000,0,360,100
1489,서울 종로구 관철동,262.5 , 36 개, 25 개,00 대,8,['000 만원'],None,1억9천,-선택사항- ,-선택사항-     ,8,19000,36,0,0
1490,서울 서초구 서초동,405.25 , 40 개, 30 개,2 대,6천 만원, 575 , 00 ,2억,-선택사항- ,-선택사항-     ,6000,20000,40,575,0
1491,서울 마포구 00동,450.9 , 50 개, 34 개,없음 대,5000 만원, 575 , 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,50,575,0
1492,서울 서초구 00동,약150평 ,  개,  개,00 대,13000 만원, 800 , 00 ,42000,-선택사항- ,-선택사항-     ,13000,42000,0,800,0
1493,서울 종로구 00동,약 100평 ,  개,  개,00 대,6000 만원, 330 , 00 ,15000,-선택사항- ,-선택사항-     ,6000,15000,0,330,0
1494,서울 강남구 00동,약150평 ,  개,  개,00 대,8000 만원, 1100 , 00 ,47000,-선택사항- ,-선택사항-     ,8000,47000,0,1100,0
1495,서울 강남구 00동,약150평 , 45 개,  개,00 대,7000 만원, 770 , 00 ,36000,-선택사항- ,-선택사항-     ,7000,36000,45,770,0
1496,서울 중구 00동,70평 , 28 개,  개,00 대,4500 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     ,4500,17000,28,340,0
1497,서울 중구 00동,100평 , . 개,  개,00 대,4300 만원, 350 , 00 ,16000,-선택사항- ,-선택사항-     ,4300,16000,0,350,0
1498,서울 중구 00동,100평 , 37 개,  개,00 대,4000 만원, 450 , 00 ,25000,-선택사항- ,-선택사항-     ,4000,25000,37,450,0
1499,서울 동작구 00동,240 , 40 개,  개,00 대,2000 만원, 230 , 00 ,9500,-선택사항- ,-선택사항-     ,2000,9500,40,230,0
1500,서울 동대문구 00동,216.35 , 35 개, 2 개,없다 대,2000 만원, 120 , 없음 ,10000,-선택사항- ,-선택사항-     ,2000,10000,35,120,0
1501,서울 중구 00동,160 , 29 개,  개,00 대,4500 만원, 340 , 00 ,17000,-선택사항- ,-선택사항-     ,4500,17000,29,340,0
1502,서울 중구 00동,1100 , 43 개,  개,00 대,4000 만원, 380 , 00 ,15500,-선택사항- ,-선택사항-     ,4000,15500,43,380,0
1503,서울 송파구 송파동,460 , 70 개, 00 개,1 대,6500 만원, 590 , 40 ,합1억5천,-선택사항- ,-선택사항-     ,6500,15000,70,590,40
1504,서울 양천구 신정동,330 , 42 개, 5 개,1 대,3천 만원, 315 , 30 ,합1억,-선택사항- ,-선택사항-     ,3000,10000,42,315,30
1505,서울 강남구 도곡역,300 , 39 개, 0 개,1 대,3500 만원, 295 , 30 ,합7900,-선택사항- ,-선택사항-     ,3500,7900,39,295,30
1506,서울 강서구 00동,. ,  개,  개,00 대, 만원, 312 , 00 ,1억4천,-선택사항- ,-선택사항-     ,0,14000,0,312,0
1507,서울 관악구 동작,440 , 큰25 개, 25 개,1 대,7천 만원, 260 , 40 ,2억4천,-선택사항- ,-선택사항-     ,7000,24000,25,260,40
1508,서울 관악구 봉천동,390 , 37 개, 7 개,1 대,8천 만원, 300 , 30 ,권리금8천,-선택사항- ,-선택사항-     ,8000,8000,37,300,30
1509,서울 서초구 00동,202.11 ,  개,  개,00 대,8500 만원, 520 , 46 ,24000,-선택사항- ,-선택사항-     ,8500,24000,0,520,46
1510,서울 성동구 00동,376 , 40 개, 40 개,00 대,4천 만원, 470 , 60 ,3억3천,-선택사항- ,-선택사항-     ,4000,33000,40,470,60
1511,서울 동작구 00동,328 , 35 개, 35 개,00 대,1억5천 만원, 470 , 30 ,3억2천,-선택사항- ,-선택사항-     ,15000,32000,35,470,30
1512,서울 영등포구 00동,315 , 40 개,  개,00 대,5천 만원, 370 , 30 ,1억6천,-선택사항- ,-선택사항-     ,5000,16000,40,370,30
1513,서울 구로구 00동,280 , 32 개,  개,00 대,3천 만원, 280 , 30 ,1억5천,-선택사항- ,-선택사항-     ,3000,15000,32,280,30
1514,서울 동대문구 00동,100 , 30 개,  개,00 대,5000 만원, 300 , 00 ,26000,-선택사항- ,-선택사항-     ,5000,26000,30,300,0
1515,서울 강동구 00동,120 , 35 개,  개,00 대,5000 만원, 550 , 00 ,29000,-선택사항- ,-선택사항-     ,5000,29000,35,550,0
1516,서울 동대문구 00동,360 , 42 개, 42 개,00 대,4000 만원, 520 , 별도 ,3억3000,-선택사항- ,-선택사항-     ,4000,33000,42,520,0
1517,서울 종로구 00동,360 , 40 개,  개,00 대,4500 만원, 330 , 별도 ,1억6000,-선택사항- ,-선택사항-     ,4500,16000,40,330,0
1518,서울 송파구 00동,360 , 37 개, 37 개,가능 대,5000 만원, 550 , 00 ,2억6000,-선택사항- ,-선택사항-     ,5000,26000,37,550,0
1519,서울 동작구 00동,100 , 33 개,  개,00 대,9000 만원, 510 , 00 ,21000,-선택사항- ,-선택사항-     ,9000,21000,33,510,0
1520,서울 관악구 00동,435 , 25 개, 25 개,00 대,2억 만원, 370 , 30 ,5억5천,-선택사항- ,-선택사항-     ,20000,55000,25,370,30
1521,서울 영등포구 00동,300 ,  개,  개,00 대, 만원, 380 , 00 ,1억5천,-선택사항- ,-선택사항-     ,0,15000,0,380,0
1522,서울 강서구 00동,268.82 , 39 개, 2 개,없음 대,4000 만원, 240 , 50 ,12000,-선택사항- ,-선택사항-     ,4000,12000,39,240,50
